survey id,id,income,childs,age,degree,rincome,health,wrkstat
1826,300,12,3,36,3,12,1,1
1827,301,12,4,45,3,10,3,4
1839,302,12,4,36,1,10,2,2
1858,303,12,0,71,4,12,2,2
1859,304,12,5,78,0,12,2,2
1860,305,12,3,42,1,12,2,1
1885,306,10,2,54,1,8,2,3
1895,307,12,3,70,1,11,3,2
1898,308,12,0,52,4,12,2,1
1901,309,11,1,63,2,11,3,1
1903,310,12,4,35,1,12,2,1
1905,311,12,4,41,1,12,2,1
1907,312,9,0,65,3,9,4,5
1908,313,12,0,25,1,5,1,3
1912,314,12,2,58,1,12,2,1
1915,315,12,3,39,1,10,3,1
1916,316,12,0,47,4,12,3,1
1921,317,12,1,35,2,12,2,2
1927,318,12,2,67,3,4,1,1
1931,319,3,2,25,1,3,2,2
1963,320,10,2,28,1,10,3,1
1964,321,12,2,34,1,12,3,1
1971,322,12,2,57,1,8,2,2
1972,323,12,3,70,4,12,1,2
1978,324,12,1,57,1,11,2,1
1983,325,12,0,27,3,12,2,1
1990,326,12,2,69,2,9,2,1
2020,327,12,2,41,3,11,3,7
2031,328,12,4,44,1,12,1,1
2032,329,11,1,67,1,10,3,2
2034,330,9,1,22,1,9,2,2
2038,331,12,1,33,3,12,1,1
2055,332,12,5,38,1,12,2,1
2058,333,12,2,60,4,12,1,2
2059,334,12,2,64,2,12,1,1
2065,335,12,0,62,4,12,2,1
2072,336,12,2,54,3,4,1,1
2074,337,12,2,42,4,12,2,1
2077,338,12,3,41,1,10,3,1
2084,339,12,0,66,1,12,1,2
2098,340,11,2,35,1,11,2,1
2099,341,12,2,60,3,12,2,2
2107,342,12,2,72,1,12,2,2
2115,343,2,1,29,0,2,4,2
2135,344,11,6,41,0,11,3,1
2137,345,12,3,61,1,12,3,1
2138,346,12,1,32,3,12,1,1
2155,347,11,2,29,1,10,2,1
2157,348,11,1,61,1,11,4,1
2161,349,12,2,63,2,12,2,1
2166,350,12,2,47,2,3,1,2
2180,351,12,3,53,1,12,2,1
2181,352,11,3,63,1,2,2,5
2183,353,12,2,60,1,12,2,1
2184,354,12,4,78,1,1,1,7
2186,355,12,0,49,1,12,2,1
2188,356,12,0,31,4,12,1,1
2191,357,12,0,24,3,12,1,1
2208,358,11,1,39,1,11,3,7
2220,359,9,3,64,1,6,2,2
2246,360,2,1,53,1,2,2,1
2263,361,10,6,41,1,10,2,1
2267,362,12,3,44,2,12,2,1
2276,363,12,2,56,1,12,2,1
2294,364,9,1,24,1,10,2,1
2300,365,12,3,54,1,12,3,1
2307,366,11,1,35,0,10,2,1
2308,367,12,2,68,3,9,2,2
2309,368,12,1,55,0,12,3,1
2323,369,12,0,22,1,12,2,1
2324,370,1,0,25,3,1,2,6
2325,371,12,0,59,4,12,2,1
2333,372,4,1,26,1,4,3,1
2334,373,12,1,57,1,12,2,3
2340,374,12,0,46,2,12,2,1
2343,375,9,1,31,1,8,1,1
2359,376,12,3,50,4,12,2,1
2360,377,12,3,62,4,12,1,1
2363,378,12,0,30,3,12,2,1
2390,379,12,3,52,3,12,2,1
2398,380,10,0,22,1,10,2,2
2399,381,3,0,21,1,2,4,4
2405,382,12,3,36,1,11,2,1
2406,383,9,4,30,0,6,2,2
2411,384,12,0,86,3,12,2,5
2414,385,12,1,29,2,12,1,1
2416,386,12,2,31,1,12,3,1
2426,387,12,0,56,4,12,3,1
2429,388,12,2,62,3,12,1,1
2437,389,7,0,24,3,6,1,2
2439,390,12,3,52,1,12,2,1
2461,391,12,0,51,1,10,2,2
2466,392,12,0,46,4,12,1,1
2476,393,12,2,39,3,12,1,1
2479,394,11,4,46,0,10,4,1
2486,395,11,2,57,1,11,2,1
2488,396,11,0,31,1,9,2,1
2495,397,12,8,37,1,12,2,1
2498,398,12,4,42,1,12,2,1
2501,399,12,0,50,3,12,2,1
2504,400,9,0,28,1,9,1,1
2507,401,12,0,54,1,12,2,1
2508,402,1,3,27,1,10,2,1
2512,403,12,2,27,1,12,2,1
2518,404,12,2,34,2,12,3,1
2519,405,12,3,36,2,12,2,1
2534,406,12,2,54,3,12,2,1
2555,407,12,4,47,3,12,2,1
2568,408,12,0,25,4,12,2,1
2577,409,12,4,69,1,12,3,5
